Año,Mes,PIB_MillonesUSD
2015,Enero,79.222
2015,Febrero,79.222
2015,Marzo,79.222
2015,Abril,79.033
2015,Mayo,79.033
2015,Junio,79.033
2015,Julio,69.782
2015,Agosto,69.782
2015,Septiembre,69.782
2015,Octubre,67.475
2015,Noviembre,67.475
2015,Diciembre,67.475
2016,Enero,64.537
2016,Febrero,64.537
2016,Marzo,64.537
2016,Abril,71.57
2016,Mayo,71.57
2016,Junio,71.57
2016,Julio,73.715
2016,Agosto,73.715
2016,Septiembre,73.715
2016,Octubre,73.583
2016,Noviembre,73.583
2016,Diciembre,73.583
2017,Enero,77.037
2017,Febrero,77.037
2017,Marzo,77.037
2017,Abril,78.017
2017,Mayo,78.017
2017,Junio,78.017
2017,Julio,78.074
2017,Agosto,78.074
2017,Septiembre,78.074
2017,Octubre,78.737
2017,Noviembre,78.737
2017,Diciembre,78.737
2018,Enero,83.997
2018,Febrero,83.997
2018,Marzo,83.997
2018,Abril,86.395
2018,Mayo,86.395
2018,Junio,86.395
2018,Julio,84.615
2018,Agosto,84.615
2018,Septiembre,84.615
2018,Octubre,79.594
2018,Noviembre,79.594
2018,Diciembre,79.594
2019,Enero,81.717
2019,Febrero,81.717
2019,Marzo,81.717
2019,Abril,81.352
2019,Mayo,81.352
2019,Junio,81.352
2019,Julio,80.454
2019,Agosto,80.454
2019,Septiembre,80.454
2019,Octubre,79.683
2019,Noviembre,79.683
2019,Diciembre,79.683
2020,Enero,75.486
2020,Febrero,75.486
2020,Marzo,75.486
2020,Abril,57.092
2020,Mayo,57.092
2020,Junio,57.092
2020,Julio,65.943
2020,Agosto,65.943
2020,Septiembre,65.943
2020,Octubre,72.527
2020,Noviembre,72.527
2020,Diciembre,72.527
2021,Enero,77.44
2021,Febrero,77.44
2021,Marzo,77.44
2021,Abril,75.101
2021,Mayo,75.101
2021,Junio,75.101
2021,Julio,78.823
2021,Agosto,78.823
2021,Septiembre,78.823
2021,Octubre,82.637
2021,Noviembre,82.637
2021,Diciembre,82.637
2022,Enero,68.493
2022,Febrero,68.493
2022,Marzo,68.493
2022,Abril,92.867
2022,Mayo,92.867
2022,Junio,92.867
2022,Julio,86.606
2022,Agosto,86.606
2022,Septiembre,86.606
2022,Octubre,78.986
2022,Noviembre,78.986
2022,Diciembre,78.986
2023,Enero,82.461
2023,Febrero,82.461
2023,Marzo,82.461
2023,Abril,88.038
2023,Mayo,88.038
2023,Junio,88.038
2023,Julio,96.9
2023,Agosto,96.9
2023,Septiembre,96.9
2023,Octubre,97.581
2023,Noviembre,97.581
2023,Diciembre,97.581
2024,Enero,104.237
2024,Febrero,104.237
2024,Marzo,104.237
2024,Abril,106.879
2024,Mayo,106.879
2024,Junio,106.879
2024,Julio,104.048
2024,Agosto,104.048
2024,Septiembre,104.048
2024,Octubre,104.237
2024,Noviembre,104.237
2024,Diciembre,104.237
2024,Octubre,104.672
2024,Noviembre,104.672
2024,Diciembre,104.672
